species,decimalLatitude,decimalLongitude,speciation
Espeletia hartwegiana,4.954722,-75.3575,0.511906943
Espeletia hartwegiana,4.954722,-75.3575,0.365205915
Espeletia hartwegiana,4.954722,-75.3575,0.333761015
Espeletia hartwegiana,4.92051,-75.351,0.241525345
Espeletia hartwegiana,5.014798,-75.340803,0.610630752
Espeletia hartwegiana,5.038494,-75.340556,0.164881905
Espeletia hartwegiana,5.038494,-75.340556,0.163137256
Espeletia hartwegiana,5.038494,-75.340556,0.35442729
Espeletia hartwegiana,5.038494,-75.340556,0.461700189
Espeletia hartwegiana,5.038494,-75.340556,0.403198757
Espeletia hartwegiana,5.038494,-75.340556,0.36617714
Espeletia hartwegiana,5.038494,-75.340556,0.145414141
Espeletia hartwegiana,5.038494,-75.340556,0.268332404
Espeletia hartwegiana,5.038494,-75.340556,0.490235295
Espeletia hartwegiana,5.038494,-75.340556,0.257354869
Espeletia killipii,5.038494,-75.340556,0.667385198
Espeletia hanburyana,4.67916,-75.34027,0.449387621
Espeletia hanburyana,4.890536,-75.336001,0.315017401
Espeletia hanburyana,4.890536,-75.336001,0.336671386
Espeletia hanburyana,4.890536,-75.336001,0.091477928
Espeletia hartwegiana,4.892594,-75.32363,0.259218267
Espeletia hartwegiana,4.8925,-75.32361,0.259661555
Espeletia hartwegiana,4.9375,-75.314445,0.405062626
Espeletia hartwegiana,4.9375,-75.314444,0.446656417
Espeletia hartwegiana,4.9194,-75.2994,0.369623399
Espeletia hartwegiana,4.9194,-75.2994,0.671892799
Espeletia hartwegiana,4.919445,-75.279999,0.514546437
Espeletia hartwegiana,4.032325,-75.263801,0.179723197
Espeletia hanburyana,4.885538,-75.251638,0.298275096
Espeletia occidentalis,7.3,-75.25,0.162455995
Espeletia occidentalis,7.3,-75.25,0.047342351
Espeletia restricta,5.725778,-75.248889,0.465619979
Espeletia occidentalis,8.744747,-74.509349,0.376595221
Espeletia perijaensis,10,-74.5,0.191552015
Espeletia perijaensis,10,-74.5,0.329517348
Espeletia perijaensis,10,-74.5,0.072627495
Espeletia grandiflora,3.898083,-74.402017,0.194341705
Espeletia grandiflora,3.898083,-74.402017,0.231648244
Espeletia grandiflora,3.898483,-74.401267,0.444722754
Espeletia grandiflora,3.898483,-74.401267,0.633263872
Espeletia grandiflora,3.8989,-74.40005,0.495816929
Espeletia grandiflora,3.8989,-74.40005,0.11391205
Espeletia grandiflora,3.90305,-74.398483,0.188811572
Espeletia grandiflora,3.90305,-74.398483,0.442301864
Espeletia argentea,3.918133,-74.3935,0.005621607
Espeletia argentea,3.918133,-74.3935,0.344459894
Espeletia argentea,3.918133,-74.3935,0.098359707
Espeletia argentea,3.918133,-74.3935,0.383277562
Espeletia argentea,3.918133,-74.3935,0.308455895
Espeletia argentea,3.918133,-74.3935,0.067056155
Espeletia grandiflora,4.213069,-74.293081,0.075194239
Espeletia grandiflora,4.213069,-74.293081,0.494137728
Espeletia grandiflora,4.213069,-74.293081,0.390279163
Espeletia grandiflora,4.213069,-74.293081,0.607825766
Espeletia grandiflora,4.211561,-74.289861,0.325643147
Espeletia grandiflora,4.211561,-74.289861,0.462241555
Espeletia grandiflora,4.211561,-74.289861,0.341259899
Espeletia grandiflora,4.211561,-74.289861,0.219627003
Espeletia grandiflora,4.211561,-74.289861,0.440659507
Espeletia grandiflora,4.211561,-74.289861,0.061576423
Espeletia grandiflora,4.204861,-74.285581,0.346755839
Espeletia grandiflora,4.204861,-74.285581,0.359757739
Espeletia grandiflora,4.204861,-74.285581,0.191280307
Espeletia grandiflora,4.204861,-74.285581,0.511528107
Espeletia grandiflora,4.204861,-74.285581,0.357000369
Espeletia grandiflora,4.204861,-74.285581,0.170226123
Espeletia grandiflora,4.200431,-74.283511,0.515648145
Espeletia grandiflora,4.200431,-74.283511,0.183395455
Espeletia grandiflora,4.200431,-74.283511,0.393508505
Espeletia grandiflora,4.200431,-74.283511,0.052302422
Espeletia grandiflora,4.200431,-74.283511,0.069908946
Espeletia grandiflora,4.200431,-74.283511,0.467764193
Espeletia grandiflora,4.200419,-74.28305,0.812268929
Espeletia grandiflora,4.200419,-74.28305,0.298747988
Espeletia grandiflora,4.200419,-74.28305,0.487707287
Espeletia grandiflora,4.200419,-74.28305,0.671905301
Espeletia grandiflora,4.200419,-74.28305,0.255894915
Espeletia grandiflora,4.200419,-74.28305,0.172747667
Espeletia grandiflora,4.1112,-74.2335,0.357358964
Espeletia grandiflora,4.254829,-74.230934,0.021946177
Espeletia grandiflora,3.99617,-74.2283,0.486628766
Espeletia grandiflora,4.275639,-74.217371,0.023853883
Espeletia killipii,4.275639,-74.217371,0.537554204
Espeletia killipii,4.275639,-74.217371,0.480730338
Espeletia grandiflora,4.27417,-74.2167,0.401105629
Espeletia grandiflora,4.28072,-74.2125,0.554504816
Espeletia killipii,4.28072,-74.2125,0.402742333
Espeletia grandiflora,5,-74.210778,0.159490833
Espeletia grandiflora,4.28879,-74.2095,0.20353499
Espeletia grandiflora,4.28879,-74.2095,0.145480196
Espeletia killipii,4.28879,-74.2095,0.443722028
Espeletia killipii,4.28879,-74.2095,0.134341979
Espeletia killipii,4.28879,-74.2095,0.188516219
Espeletia killipii,4.28879,-74.2095,0.469572409
Espeletia killipii,4.281521,-74.208384,0.220574162
Espeletia summapacis,4.289836,-74.206703,0.437480573
Espeletia killipii,4.280133,-74.206304,0.437287098
Espeletia barclayana,5,-74.206278,0.598187864
Espeletia cayetana,5.01075,-74.205806,0.584511559
Espeletia killipii,4.27985,-74.205,0.235139717
Espeletia grandiflora,5.0093,-74.204467,0.099042822
Espeletia grandiflora,5.011556,-74.198889,0.507593091
Espeletia grandiflora,4.19925,-74.196281,0.136435775
Espeletia barclayana,5.00726,-74.1918,0.487060765
Espeletia barclayana,5.00726,-74.1918,0.46122548
Espeletia barclayana,5.00726,-74.1918,0.277795495
Espeletia barclayana,5.007868,-74.185751,0.177288881
Espeletia barclayana,5.00203,-74.1854,0.006824764
Espeletia barclayana,4.93333,-74.1833,0.301275213
Espeletia grandiflora,4.1944,-74.1807,0.0680293
Espeletia argentea,5,-74.1667,0.345669716
Espeletia argentea,5,-74.1667,0.164609121
Espeletia argentea,5,-74.1667,0.505130376
Espeletia argentea,5,-74.1667,0.041138601
Espeletia argentea,5,-74.1667,0.319968478
Espeletia argentea,5,-74.1667,0.106948095
Espeletia argentea,5,-74.1667,0.344405026
Espeletia argentea,5,-74.1667,0.241911439
Espeletia argentea,5,-74.1667,0.248536935
Espeletia argentea,5,-74.1667,0.630817993
Espeletia argentea,5,-74.1667,0.235276026
Espeletia argentea,5,-74.1667,0.06707763
Espeletia argentea,5,-74.1667,0.306438973
Espeletia barclayana,5,-74.1667,0.04330903
Espeletia barclayana,5,-74.1667,0.368072115
Espeletia barclayana,5,-74.1667,0.149672563
Espeletia barclayana,5,-74.1667,0.342515805
Espeletia grandiflora,5,-74.1667,0.139579199
Espeletia grandiflora,5,-74.1667,0.491947853
Espeletia grandiflora,5,-74.1667,0.010842072
Espeletia grandiflora,5,-74.1667,0.072632008
Espeletia grandiflora,5,-74.1667,0.574844014
Espeletia grandiflora,5,-74.1667,0.501350456
Espeletia grandiflora,5,-74.1667,0.281265626
Espeletia grandiflora,5,-74.1667,0.379963381
Espeletia grandiflora,5,-74.1667,0.647048733
Espeletia grandiflora,5,-74.1667,0.390148795
Espeletia grandiflora,5,-74.1667,0.209338775
Espeletia grandiflora,5,-74.1667,0.117035263
Espeletia grandiflora,5,-74.1667,0.354336098
Espeletia grandiflora,5,-74.1667,0.66626167
Espeletia grandiflora,5,-74.1667,0.437327774
Espeletia grandiflora,5,-74.1667,0.456357175
Espeletia grandiflora,5,-74.1667,0.397909592
Espeletia grandiflora,5,-74.1667,0.394065692
Espeletia grandiflora,5,-74.1667,0.094886952
Espeletia killipii,5,-74.1667,0.401689063
Espeletia killipii,5,-74.1667,0.173208419
Espeletia killipii,5,-74.1667,0.314929778
Espeletia killipii,5,-74.1667,0.599661027
Espeletia killipii,5,-74.1667,0.282763306
Espeletia killipii,5,-74.1667,0.338609575
Espeletia summapacis,5,-74.1667,0.196095127
Espeletia summapacis,5,-74.1667,0.361487464
Espeletia summapacis,5,-74.1667,0.127760206
Espeletia summapacis,5,-74.1667,0.227654604
Espeletia uribei,5,-74.1667,0.142247367
Espeletia uribei,5,-74.1667,0.571021137
Espeletia uribei,5,-74.1667,0.350637075
Espeletia uribei,5,-74.1667,0.055344518
Espeletia uribei,5,-74.1667,0.366276994
Espeletia uribei,5,-74.1667,0.309899748
Espeletia uribei,5,-74.1667,0.488503812
Espeletia uribei,5,-74.1667,0.538495504
Espeletia uribei,5,-74.1667,0.118912564
